details,date,city,state,country,shape,summary,report_date,posted_date,month_count
https://nuforc.org/sighting/?id=159959,09/2020,Houston,TX,USA,NA,MADAR Node 118,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159621,09/2020,Indianapolis,IN,USA,Light,"Leaving boyfriend's work place, turn left onto Producers Lane, see ball of light streak across the sky heading north, then make a hard",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159680,09/2020,Monroeville,PA,USA,Unknown,"I have seen two things. I don't know if I am crazy or what. The first. This took place as we were talking about UFOs. We see a light, a",10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159682,09/2020,Aurora,CO,USA,Light,"Approximately 23:00,I went outside and looked at the moon. Noticed a cluster of lights west of the moon,thought they were stars.They st",10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159847,09/2020,Huntsville,AR,USA,Diamond,Diamond shaped UFO 4 white lights on each corner back one slowly fading in/out white to yellow. Electric humming & unusual dog howls,10/08/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159685,09/2020,Rutland,VT,USA,Disk,Glowing oreo cookie shaped disc like object witnessed moving quickly and silently across the night sky.,10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159619,09/2020,Roswell,NM,USA,Fireball,"Orange balls of light on US 285, just north of Roswell, New Mexico.",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159620,09/2020,Amado (Elephant Head),AZ,USA,Changing,Orange and blue smoke like objests over Elephant Head Az.,09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159626,09/2020,Salinas Victoria (Mexico),NA,Mexico,Other,"An object in the shape of a crescent moon was observed at high altitude and speed, white as moonlight, with the circular part towards t",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=179052,09/2020,Seymour,CT,USA,Rectangle,Me and My fiance on our way to dinner have a rectangular UFO the size of a football field silently fly over car,10/21/2023,10/28/2023,470
https://nuforc.org/sighting/?id=159628,09/2020,Staten Island,NY,USA,Disk,"Grey disk floating in the sky. Completely still, not moving at all.",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159623,09/2020,Gaston,SC,USA,Triangle,"triangular object with red, green and white rapidly flashing lights, apparently stationary, low in the westerly sky at 17:00",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159630,09/2020,Edmond,OK,USA,Egg,Silver UFO seen in Edmond suddenly vanished,09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159632,09/2020,Abington,PA,USA,Cigar,"Ugh. 500PM. Sitting on Bach deck. Two clouds in the sky. Blue sky. Crystal clear. The one small cloud, NE sky, had what looked like a",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159665,09/2020,Nebraska City,IA,USA,Circle,3 circle shaped craft flying in triangle formation start spinning and switching places changing directions very quickly,09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159667,09/2020,Mechanicsburg,PA,USA,Flash,"It was a super bright, long lasting flash.",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159957,09/2020,Jonesboro,AR,USA,NA,MADAR Node 143,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159679,09/2020,Colombus,OH,USA,Rectangle,rectangular object green trail from entry in atmostphere.,10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159666,09/2020,North Phoenix,AZ,USA,Flash,I was finishing up working on my wife car when I notice Two white lights in the sky right next to each other. I ran inside to get my wi,09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159958,09/2020,Houston,TX,USA,NA,MADAR Node 118,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159670,09/2020,Murray,UT,USA,Oval,White oval object zooms toward the mountains,09/29/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159668,09/2020,Nuevo,CA,USA,Sphere,Orange light seen moving side to side by four witnesses.,09/29/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159695,09/2020,Oakville,WA,USA,Unknown,It seemed to be scanning the landscape,10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159622,09/2020,Temecula,CA,USA,Light,On 8:25 pm a bright white light that had what appeared to be illuminated fog surrounding it flew over my house from South to North.,09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159624,09/2020,Spokane,WA,USA,Circle,"Round object in the sky with very bright red, blue and white lights flashing lights",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159883,09/2020,Palmdale,CA,USA,Triangle,Three triangular shapes with green lights,10/10/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159672,09/2020,Las Vegas/Ryolite (between),NV,USA,Chevron,We were headed from Las Vegas to Ryolite. We were run off the road by lice/ military vehicles at a high rate of speed carrying an aircr,09/29/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159961,09/2020,West Chazy,NY,USA,NA,MADAR Node 85,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159615,09/2020,Kearney,NE,USA,Light,"I was out on the back patio around 4:10 in the morning, looking up at eastern sky, and saw a light move in a arc “like it was doing a t",09/29/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159652,09/2020,Silver Lake,IN,USA,Disk,"Very bright saucer over lake making high pitched sound, causing dog to go nuts.",09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159592,09/2020,Ithaca,NY,USA,Triangle,"Right at that time part of our lights went out in the house.... Not all, Just in the living room; the tv went dark.",09/28/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159601,09/2020,Columbus,OH,USA,Circle,"I was standing outside at 7:20am and noticed a bright gleaming object high up into the sky, it was extremely bright and it was moving a",09/28/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159934,09/2020,East Providence,RI,USA,Circle,Outside on the back porch at night when I saw something in the sky. Object was circular with red panels on the bottom that looked like,10/14/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159713,09/2020,Richmond,VA,USA,Changing,This tight shape fanned out into 6 to 7 individual dimly lit red lights in a downward V-shaped formation traveling horizontally.,10/03/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159676,09/2020,Clarion,PA,USA,Changing,They come back to the same spot frequently.,10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159963,09/2020,Ajax,ON,Canada,NA,MADAR Node 41,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=160422,09/2020,Athens,AL,USA,Other,A command module looking craft.,11/05/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159671,09/2020,Winslow,AR,USA,Light,We saw a pulsating and hovering bright light in the sky near I-49 at exit 40 to the east and again at exit 45 to the west that had trai,09/29/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159839,09/2020,Ignacio,CO,USA,Orb,Sunset on ute reservation 4 mile from Ignacio colo. I was driving down the road heading home seen the sunset ion the east of town tha,10/09/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159596,09/2020,Boise,ID,USA,Disk,photos of bright glittery white lights at 3:30am.,09/28/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159598,09/2020,Marysville,WA,USA,Rectangle,"This was in the NE sector and was about at a 10 O'clock position,noo blinking lights and appeared to be stationery. It appeared to ha",09/28/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159604,09/2020,Independence,MO,USA,Changing,Reddish orange fire flame dancing in night sky,09/28/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159609,09/2020,Kingsville,OH,USA,Fireball,There was a motherboard.,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159962,09/2020,Independence,MO,USA,NA,MADAR Node 45,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=160715,09/2020,FORT WORTH,TX,USA,Other,CUBE SHAPE OBECT SIGHTED IN FORT WORTH TX SEP 20,11/19/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159706,09/2020,Middleboro,MA,USA,Circle,dark circle hovers and takes off,10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159607,09/2020,Ellicottville,NY,USA,Disk,They're back and there's more,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159696,09/2020,Brush Prairie,WA,USA,Orb,UFO sighting while homeschooling my son. Multiple white objects in sky. Can see that there are different speeds and directions.,10/01/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159709,09/2020,Flippin,AR,USA,Light,Green light appears and disappears followed by the sound of a jet,10/02/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159965,09/2020,Spokane,WA,USA,NA,MADAR Node 37,10/15/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159583,09/2020,Houston,TX,USA,Formation,Star formation taking place with jumps through triangle. Same old stuff they jump through time to keep the governments in control. Noth,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159573,09/2020,The Villages,FL,USA,Light,Two white lights spheres in tandem seen through thin clouds moving fast very fast 2-3 seconds,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159579,09/2020,Spokane Valley,WA,USA,Sphere,Lights racing around,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=163670,09/2020,Allen Park,MI,USA,Circle,Circular objects moving fast,06/11/2021,07/31/2021,470
https://nuforc.org/sighting/?id=159582,09/2020,Tucson (North of; Pima Co.),AZ,USA,Sphere,Pulsing white light Spherical object,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159577,09/2020,Pointblank,TX,USA,Light,It was 2:00 in the morning on the east side lake livingston right under 190 hwy. My mom and my sister and I were inside the house havin,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159605,09/2020,Deerlake,WA,USA,Oval,09/27/2020. Deer Lake Wa sphere 2 minutes. Glowing white sphere size of a golf ball dancing between to motion cameras,09/27/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159788,09/2020,Mt. Vernon,IN,USA,NA,MADAR Node 119,10/07/2020,12/23/2020,470
https://nuforc.org/sighting/?id=159603,09/2020,Scottsdale/Fountain Hills,AZ,USA,Changing,"Saw what seemed to be a regular aircraft, but turned out to be a physics defying encounter.",09/28/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159782,09/2020,Kennebunk,ME,USA,Triangle,Is this a UFO or the government,10/06/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159635,09/2020,Brighton (UK/England),NA,United Kingdom,Changing,Stunning interdimensional craft with ET's inside,09/30/2020,11/05/2020,470
https://nuforc.org/sighting/?id=159590,09/2020,West Islip,NY,USA,Circle,Two bright red -orange centers fly over Long Island. Disappeared within minutes of each other after traveling north.,09/26/2020,11/05/2020,470
